institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
Nagoya University,Japan,<5000 Students,Comprehensive,Very High,100+ Years,59.8,54.3,90.6,33.9,15.8,20,66.5,35.1,59.2,51.1,92,37.4,5.1,20.5,47.8,32.8,47.8,43.4,76.8,46.1,15676,9.2,0.11
Utrecht University,Netherlands,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,65.8,26.6,35.1,79.6,58.3,23.1,94.7,42.5,66.1,34.4,37.4,82.2,45.5,24.4,44.1,65.5,61.2,88.4,65.3,64.7,31833,14.2,0.09
University of Nottingham,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,59,75.3,36.9,45.2,90.3,76.7,98.1,32.5,59.1,74.2,43.5,51,90.3,83.6,42.7,87.5,42.6,80.3,39.4,57.2,29699,14.6,0.29
Universidade de São Paulo,Brazil,>30000 Students,Fully Comprehensive,Very High,100+ Years,91.8,69.9,17.4,40.6,7.6,2.7,94.7,78.9,90.1,71.3,18.8,42.3,2.4,3,,,,,,,,,
Aalto University,Finland,>30000 Students,Fully Comprehensive,Very High,50-99 Years,44.5,45.8,44.4,89.3,94.9,35.6,90.3,79.8,45.7,45.8,47.7,88.4,96,37.5,41.8,82.3,39.4,76.7,48.3,54.8,12195,18.6,0.26
Université de Montréal ,Canada,12000-30000 Students,Focused,Very High,10-24 Years,57.4,47.2,76.2,27.6,89.5,53.7,86,19.3,56.6,52.5,74.1,36.1,88.3,53.2,,,,,,,,,
Freie Universitaet Berlin,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,80.7,44.9,4,63.5,63,42,91.9,33.3,80.9,51.8,3.5,57.8,50.5,46.5,,,,,,,,,
Washington University in St. Louis,United States,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,40.1,15.3,99.9,55.6,82.4,55.1,84.9,71,41.3,16.3,99.9,61,79,68.6,,,,,,,,,
University of Bern,Switzerland,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,30.3,35.5,64.9,98.3,100,41.9,95.3,18.4,30.4,35,67.5,97.6,100,44,44.5,87.3,41.2,86.6,85,60.4,11090,16.5,0.16
Pontificia Universidad Católica de Chile (UC),Chile,5000-12000 Students,Focused,Very High,100+ Years,91.8,98.1,22.3,12.5,17.9,3.9,82.7,90.4,89.6,97.6,22.4,14,6.5,3.8,,,,,,,,,
Newcastle University,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,46.2,83.8,39.1,58.9,84.8,75.6,96.9,14.9,45.8,80.8,43.3,48.2,92.2,85.8,31.5,87.8,36.2,85.5,41.7,53.6,22691,14.1,0.27
Universiti Putra Malaysia (UPM),Malaysia,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,56.8,59.2,75.4,19.5,44.2,92.7,85,6.2,53.6,56.4,73.9,20.5,32.9,87,,,,,,,,,
Wageningen University & Research,Netherlands,12000-30000 Students,Fully Comprehensive,Very High,25-49 Years,42.8,17,97.4,48.2,50.5,76.4,96.9,18.8,42.8,24.9,97.9,53.4,35.7,78.5,49.3,81.9,57.1,96.1,100,69.4,13914,21.3,0.27
Chalmers University of Technology,Sweden,12000-30000 Students,Focused,Very High,100+ Years,27.9,60.7,60.5,81.6,100,72.4,84.1,22.5,28.8,62.9,70.2,76.1,100,72.4,36.1,82.9,42.1,60,74.1,49.5,9209,12.5,0.17
Queen Mary University of London,United Kingdom,5000-12000 Students,Comprehensive,Very High,100+ Years,48.9,36.2,42.8,62.6,99.7,99.5,93.7,13.8,50.7,39.4,51.5,60,99.8,99.5,35.3,96.7,43.1,98,44.1,61.3,17799,14.1,0.43
        University of Geneva,Switzerland,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,46.5,20,44.8,74,100,96.7,92.8,45.9,48.7,24.4,47.4,83.7,100,97.3,38.1,98.4,43.7,80.4,63.3,57.6,16935,15.6,0.39
Uppsala University,Sweden,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,63.6,27.4,43.4,43.4,95.3,74.7,97.1,48.5,65.1,33,38.9,53.4,86.3,60.4,41.6,68.1,56.4,85,74.6,61.9,25438,16.7,0.15
Purdue University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,62.7,73.1,11.7,70.9,51.7,48.4,92.2,63.8,63.3,74.9,14.8,77.6,55.8,50.6,,,,,,,,,
Universiti Kebangsaan Malaysia (UKM),Malaysia,>30000 Students,Fully Comprehensive,Very High,100+ Years,57.9,62,93.1,9.4,42.8,38.7,76.5,5.6,56.7,59.4,94.6,9.2,20.5,28.4,,,,,,,,,
Humboldt-Universität zu Berlin,Germany,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,90.1,55.6,8.7,29.5,58.1,33.9,91.4,26,90.3,63.5,9.2,33.1,39.8,33,,,,,,,,,
Leiden University,Netherlands,>30000 Students,Fully Comprehensive,Very High,100+ Years,68.1,23.4,22.2,65.8,85.1,47.2,94.7,30,69.3,32.3,24.1,73.5,78.1,47.3,48.3,79.4,65,83.1,72.7,66.7,28741,18.7,0.16
Nanjing University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,100+ Years,57.7,17.7,32.3,96.1,54,8.2,74.9,29.6,59.6,17.7,30.1,96.4,52,9.2,50.7,57.8,48,71.8,84.9,57.6,34569,15.5,0.1
University of Southern California,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,54.6,59.1,28.4,71.7,36.1,77.4,89.2,94.8,56.2,60.9,37.1,77.5,23.4,81.7,54.7,66.2,59.3,93.1,39.7,68.1,36929,11.7,0.25
Kyushu University,Japan,>30000 Students,Fully Comprehensive,Very High,100+ Years,56.6,65,84.9,26.8,15.1,20.7,66.1,22.4,56.1,60.2,86.2,31,4.4,18.9,44.2,38.8,39.2,34.3,75.3,40.1,18643,8.8,0.13
University of Basel,Switzerland,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,28,26.8,53.8,95.7,100,84.1,90.1,52.7,28.7,25.9,49.7,97.2,100,86.7,43,96.1,41.2,91.4,99.4,62.4,11518,15.8,0.27
University of Technology Sydney,Australia,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,41.8,66.1,9.6,90.4,94.6,97.6,89.5,39.9,44.4,71.8,8.9,86.3,98.6,95.2,33.5,96.1,42.9,75.3,50.3,54,26385,43.4,0.34
Eindhoven University of Technology,Netherlands,12000-30000 Students,Comprehensive,Very High,25-49 Years,28.9,72.8,50.5,78.2,100,56.9,72.3,45.1,29.9,78.9,54.3,85.9,100,44.1,44.6,78.3,48.8,61,99.8,54.7,8917,20.7,0.19
Politecnico di Milano,Italy,5000-12000 Students,Focused,Very High,50-99 Years,67.8,76.8,5.4,53.5,57.5,54.3,87.8,39.7,66.1,81,5.1,59.3,40.9,55.2,,,,,,,,,
The Ohio State University,United States,>30000 Students,Focused,Very High,100+ Years,61.1,62.2,51.1,34.6,63,16.2,96.5,41.9,61.9,64.2,58.7,39.3,76.9,23.2,,,,,,,,,
Hokkaido University,Japan,>30000 Students,Fully Comprehensive,Very High,100+ Years,55.6,60.7,77.8,30,18.3,17.2,72.8,16.7,54.8,56,79.2,32.5,8.1,17.9,45.7,39.2,40.1,30,58.7,39.1,18225,8.1,0.11
"KIT, Karlsruhe Institute of Technology",Germany,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,44.7,67.7,33.3,72,68.6,50.6,89.6,54.3,45.3,78.5,30.5,74,58.9,67.7,,,,,,,,,
Ghent University,Belgium,12000-30000 Students,Comprehensive,Very High,50-99 Years,54,30.1,83.2,26.9,72.5,21.4,99.1,24.8,54.5,25.8,84.8,34.3,61.7,21.1,43.3,59.5,55.5,78.4,80.9,59.6,38080,37,0.1
Universiti Sains Malaysia (USM),Malaysia,>30000 Students,Fully Comprehensive,Very High,100+ Years,59.7,66.6,65.2,13.4,25.4,75.3,79.6,6,58.9,63,69.6,16,16,60.6,,,,,,,,,
University of Groningen,Netherlands,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,51.6,21.6,54.4,42.2,93.4,86.9,96.3,20.9,51.1,29.1,62.2,49.3,92.6,86.2,42.3,82.5,55.6,91.6,79.8,65,27228,23.8,0.21
Lancaster University,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,39.6,30,31.5,82.2,93.3,94.5,88.9,28.3,41.2,33.2,39.2,82.6,94.6,97.1,34.7,94.2,39.4,92.5,36,57.9,12657,12.5,0.38
RWTH Aachen University,Germany,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,49.5,88.7,5.4,73.3,48.3,81.1,84.1,30.8,50.2,93.3,6.5,60.8,21.9,75.6,55.6,59,61.5,67.3,98.1,62.2,45377,61.1,0.21
University of Rochester,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,23.8,20.1,99.3,55,74.9,95.1,75.1,46.5,25.2,18.9,99.8,52.6,57,95.3,43.4,67.2,30.3,91.4,40.9,55.6,9824,4.2,0.31
"University of California, Santa Barbara (UCSB)",United States,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,55.9,24,10.6,97.2,57.8,28.4,78.4,15.6,57.8,25.3,10.7,95.6,44.1,37.2,,,,,,,,,
Al-Farabi Kazakh National University,Kazakhstan,12000-30000 Students,Comprehensive,Very High,100+ Years,49.1,76.9,98.3,1.3,30.5,34.6,35.3,12.3,45.5,67.7,97.2,1.3,13.4,24.4,24.3,61.2,9.6,20.7,42.8,22,21138,5.6,0.11
University of Vienna,Austria,12000-30000 Students,Fully Comprehensive,High,50-99 Years,69.4,55.3,24.2,14.1,98.9,89.2,96.6,73,70.2,47.4,22.6,17.2,98.8,89.9,48.1,94.2,55.3,64.6,37.1,58.4,33547,40.2,0.27
McMaster University,Canada,>30000 Students,Fully Comprehensive,Very High,100+ Years,39.9,50.2,84.7,21.3,99.3,59.2,79.8,42.9,39.9,51.6,86.5,31.4,99.5,55.3,44.5,82.7,50.1,94.8,94,65.4,24412,28.1,0.17
Stockholm University,Sweden,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,54.5,17.7,29.2,62.5,82,77.1,97.3,69.3,55.6,20.3,27.3,65.5,87.5,63.1,30,81.3,46.4,85,36.6,55.4,27185,19.5,0.14
University of Waterloo,Canada,12000-30000 Students,Comprehensive,Very High,50-99 Years,40.2,77.6,7,82.5,79,82,83.6,87.7,39.6,79.2,7.5,85.7,74.7,83.8,35,84.1,42.1,66.3,45.1,50.5,33519,23.6,0.2
Emory University,United States,>30000 Students,Comprehensive,Very High,50-99 Years,25.2,15.7,99.1,68.7,50.1,31.1,87.7,44.5,25,17.3,99.4,66.7,30.5,38.1,56,57.9,40.4,98.8,45.4,64,12735,4,0.2
Indian Institute of Science,India,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,37.6,22.9,56.3,100,11.7,1.9,46,14.8,34.2,19.2,48.8,100,1.2,1.8,58.6,20.2,55.3,32.4,57.1,46.8,4128,9.6,0.01
       Hanyang University,South Korea,<5000 Students,Specialist,Very High,100+ Years,45,79.1,83.2,17.6,18.8,43.8,68,33.9,45.2,74.3,80.1,30.1,8.9,31.7,39.1,62.3,40,40.1,92.3,42.7,20087,15.7,0.21
Technische Universität Berlin (TU Berlin),Germany,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,55.1,64.9,48.5,23.6,46.1,75,83.2,31.6,55.7,68.6,43.3,30.7,23.6,80.3,,,,,,,,,
  Michigan State University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,60.5,61.4,12.9,58.9,62.1,16.9,93.2,53.6,61,60.7,13.5,63.3,50.5,23.6,56.6,63.3,57.4,80,37.8,63.9,44789,16.5,0.16
King Fahd University of Petroleum & Minerals,Saudi Arabia,>30000 Students,Fully Comprehensive,Very High,100+ Years,30.3,24.9,88.5,50.9,100,21.8,70.2,66.7,28.7,25.4,85.9,54.5,100,16.5,,,,,,,,,
Aarhus University,Denmark,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,55.6,33.5,32.4,55.2,87.9,16.3,95.4,33.5,56,40.2,32.6,60.1,83.9,15.8,37.2,74.8,54,85.4,66.7,60.3,26842,14.4,0.09
University of York,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,43.3,36.1,45,48.6,88.1,82.1,88.9,23.7,43.2,37.2,54.4,50.2,91.8,74,40.3,85.4,46.6,85.1,36.4,58.9,16058,14.9,0.24
The University of Exeter,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,41.1,56.1,31.5,55.3,92.3,77.7,94.8,15.9,41.4,57.5,37.3,58.5,94.2,82.9,,,,,,,,,
Texas A&M University,United States,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,61.5,65,5,67.8,24.8,14.7,91.1,36.3,61.5,65,6,68.6,11,15.6,49.3,54.3,54.8,62.8,45.3,55.3,60818,24.8,0.08
"University of Maryland, College Park",United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,51.2,35.6,37.1,71.1,23.8,14.9,92.6,61.4,51.9,35.9,43,73.1,13.2,21.9,46.9,41.2,59.1,89.6,39.2,62.7,33108,16.6,0.11
Cardiff University,United Kingdom,>30000 Students,Fully Comprehensive,Very High,100+ Years,46,47.7,40.3,41.8,84.1,74.7,91.4,19.5,47.2,47.1,48.6,44.3,81.6,79.4,32.5,85.1,35.5,87.1,37.8,53.9,25501,13.5,0.27
Alma Mater Studiorum - University of Bologna,Italy,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,78.5,43.1,3.5,49.7,7.8,10.8,95.1,40.7,77.5,46.6,3.8,51.8,4.7,10.3,,,,,,,,,
Universidad de Chile,Chile,>30000 Students,Fully Comprehensive,Very High,100+ Years,80,92,12.5,13.9,9.4,5.6,77.4,42.6,76.7,92.3,12.2,15.3,2.8,4.9,,,,,,,,,
Eberhard Karls Universität Tübingen,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,44.7,21,96.7,14.9,67,26.1,96.5,16.6,46,22.1,94.6,16.3,43.8,24,,,,,,,,,
Tecnológico de Monterrey,Mexico,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,48.8,92.8,72.9,2.2,52.9,8.6,65.1,85.6,45,90.4,81.5,2.5,73.6,8.9,,,,,,,,,
Sapienza University of Rome,Italy,>30000 Students,Fully Comprehensive,High,50-99 Years,78,36.6,4.5,50.2,3.4,11.4,98,55.8,76.5,38.4,4.2,55.9,1.4,10,40.4,40.5,40,69.8,43.6,49.2,71318,21.3,0.06
Indian Institute of Technology Bombay (IITB),India,>30000 Students,Fully Comprehensive,Very High,100+ Years,53.3,86.5,25.8,55.1,3.9,1.6,58,76.7,51.3,79.6,32.5,55.5,1.5,1.6,,,,,,,,,
Western University,Canada,12000-30000 Students,Comprehensive,Very High,50-99 Years,30.6,60.5,4.6,96.9,99.8,57.2,86,81,30.8,63.9,5.5,97.4,99.4,60.4,40.2,80,35.7,76.4,59.1,53.2,29865,23.1,0.18
Ecole des Ponts ParisTech,France,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,8.4,55.3,97.4,56.7,36.3,95,43.8,90.4,8.6,46.8,95.9,29.8,15.7,98.4,,,,,,,,,
Indian Institute of Technology Delhi (IITD),India,<5000 Students,Focused,Very High,100+ Years,49,79.2,27.7,65.2,2.6,1.7,42.2,84.8,45.8,70.8,30.9,70,1.2,1.7,,,,,,,,,
Case Western Reserve University,United States,5000-12000 Students,Comprehensive,Very High,50-99 Years,18.3,20.2,89.1,65.8,47.8,64.6,72.5,40.9,19,21.7,86.3,75.9,41.3,74.1,48.4,52.2,39.9,95.3,42.1,60,10654,8.8,0.23
National Tsing Hua University,Taiwan,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,51.3,69,34.4,47.7,17.7,19.1,35.8,5.5,51.2,59.3,37.8,53,7.2,20.4,35.4,36.2,46.2,50.1,64.8,43.8,14853,18,0.1
Universitat Autònoma de Barcelona,Spain,12000-30000 Students,Comprehensive,Very High,50-99 Years,62.2,28.9,11.8,66.9,20.7,20.2,94.1,20,60.8,32.3,13.6,52.7,8,23.2,,,,,,,,,
Technische Universität Wien,Austria,>30000 Students,Fully Comprehensive,Very High,50-99 Years,30.9,50.3,12.3,86.6,79.7,86.7,76.7,29.5,32.6,48,11.5,90.4,70.5,82.8,,,,,,,,,
University of Bath,United Kingdom,5000-12000 Students,Focused,Very High,100+ Years,34.4,68.9,19.9,59.1,97.4,83.6,78.2,41,34.8,69.8,22.4,63.3,98.7,89.5,28.6,90.3,31.1,75.7,37.5,48.3,13825,16.4,0.32
Khalifa University of Science and Technology,United Arab Emirates,12000-30000 Students,Comprehensive,Very High,50-99 Years,16.6,15.2,91.7,51.9,100,69.7,72.8,15.8,13.7,10.5,91.3,65.1,100,59.7,,,,,,,,,
University College Dublin,Ireland,<5000 Students,Specialist,Very High,10-24 Years,48.7,46.8,22.5,43,98.7,63.1,87.6,64.4,49.6,44.6,25.9,42.1,99.2,76,30.8,92.5,36.5,73.6,43.9,50.3,22541,23.1,0.29
University of Pittsburgh,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,39.9,16.3,96.3,37.4,7.9,13.8,90.3,44,42.3,18.8,97.5,43.9,2.6,14.6,,,,,,,,,
Universitat de Barcelona,Spain,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,71.9,28.1,13.6,44.5,14.6,26.5,96.9,53.5,71.3,36.5,16.1,51,3.9,32.2,,,,,,,,,
University of Gothenburg,Sweden,>30000 Students,Fully Comprehensive,Very High,100+ Years,37.4,20.1,66.1,34.4,86.9,74.4,94.9,48.7,37.9,21.6,71.7,37.2,73.5,63.1,27.5,65.7,41.5,93.5,40.1,54.7,19677,10.2,0.13
University of Minnesota Twin Cities,United States,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,60.1,28.2,38.2,49.2,7.1,10.1,97.6,54.5,61.8,30.1,30.6,54.1,2.3,14.8,,,,,,,,,
University of Wollongong,Australia,>30000 Students,Fully Comprehensive,Very High,100+ Years,29.4,34.1,20.9,88,93.9,70.1,91.4,24.2,30.4,37.5,20.1,82.3,90.8,76.4,29.9,93.4,35,75.5,55.7,50.5,18642,31.5,0.29
University of Florida,United States,12000-30000 Students,Fully Comprehensive,Very High,25-49 Years,48.5,47,71.4,26.4,17.5,11.3,98,54,49.7,47.9,76.4,28.9,6.2,12.5,54,40,53.8,61.9,57.9,55.4,46642,16.8,0.1
Albert-Ludwigs-Universitaet Freiburg,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,47.4,18.6,36.5,57.3,67.6,41,89,19.3,49.9,20.8,34.1,66.5,48.9,43.1,,,,,,,,,
RMIT University,Australia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,36.6,55.5,6.7,66,100,93.4,85.8,41,37.1,60.9,8.3,51.3,100,95,25.7,91.8,26.1,64.5,42.5,42.8,33848,22.4,0.3
University of Liverpool,United Kingdom,>30000 Students,Comprehensive,Very High,25-49 Years,42.7,34.3,41.5,33.7,87.5,88.5,98.1,38.9,42.7,37.3,44.8,32.2,86.8,94.9,35.2,92.2,37.5,88.8,38.8,56.3,23057,13.8,0.33
"The University of Newcastle, Australia (UON)",Australia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,29.1,25.7,34.1,86.7,99.9,17.6,78.6,45.1,30.8,28.6,32.9,80.6,100,30.5,,,,,,,,,
Curtin University,Australia,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,30.5,41.2,13.9,89.4,100,44,93.7,20.1,31.2,48.2,15.2,84.6,100,46,23.4,94.2,30.4,83.2,44.8,49.3,29214,20.2,0.31
     Wuhan University,China (Mainland),12000-30000 Students,Comprehensive,Very High,25-49 Years,38.8,56.6,13.8,88.1,42.4,7.2,72.8,32.7,39.2,46.8,15.4,75.1,26.5,8.1,44,40.4,34,52.5,84.7,44.3,52502,14.6,0.07
Macquarie University,Australia,>30000 Students,Fully Comprehensive,Very High,50-99 Years,30.9,48.9,13.6,74.6,93,88.9,88.3,53.9,33.2,52.8,17.3,60.9,98.8,95.2,37.8,83.9,42.6,71.8,53.1,53.3,30234,68.6,0.29
Université catholique de Louvain (UCLouvain),Belgium,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,49.7,43,5.4,61.7,89.4,38.4,89.6,49.1,50.8,38,6.7,66.8,89.8,42,,,,,,,,,
Keio University,Japan,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,50.3,91.9,60.3,6.6,10.6,12.4,46,83.7,50.2,87.7,62.8,7.1,3.6,13.2,32.1,31.5,25.7,36.8,42.7,31.8,34916,10.4,0.08
Ulsan National Institute of Science and Technology (UNIST),South Korea,>30000 Students,Fully Comprehensive,Very High,100+ Years,11.8,7.4,79.8,99.9,38.3,12,31.7,14.9,9.9,6.5,76.1,100,35.4,13.1,27.8,51.9,38.6,91.3,80.5,53.2,4127,13.9,0.08
Vanderbilt University,United States,<5000 Students,Focused,Very High,10-24 Years,25.9,22.2,100,38.5,38.7,30,83,56.1,25.9,23.1,100,31.7,14.1,35.9,48.7,43,42.1,95.4,47.5,60.3,12006,3,0.14
Technische Universität Dresden,Germany,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,37.4,37,89.1,14.9,42.9,36,94.2,9.9,38,51,86.6,19.5,25.2,37.1,,,,,,,,,
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,51.3,16.9,68.1,15.1,51.9,32.1,92.4,22.8,51.1,17.7,56.2,18,32.6,29.3,,,,,,,,,
National Yang Ming Chiao Tung University,Taiwan,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,34.8,74.6,50.3,46.2,23.8,22.3,42.8,51.3,32.6,64.9,46.8,34.1,7.1,12.6,,,,,,,,,
Universiti Teknologi Malaysia ,Malaysia,12000-30000 Students,Fully Comprehensive,Very High,1-9 Years,44.5,55.9,46.3,28.6,12,77.2,82.9,13.1,42.4,53.4,55.2,39.2,6.5,68.3,,,,,,,,,
University of Lausanne,Switzerland,12000-30000 Students,Comprehensive,Very High,25-49 Years,30.6,16.8,43.5,61,99.9,59.1,82,53.4,32.8,19,52.4,63.9,99.8,61.7,33.1,92.7,44.2,73.3,67.8,53.8,12197,9.6,0.24
Dartmouth College,United States,12000-30000 Students,Focused,Very High,100+ Years,19.2,25.9,65.2,86.7,5.7,32.8,53.7,96.7,19.5,30.1,71.8,90.1,1.7,32.5,58.4,39.6,39.9,96.4,41,62.4,6247,7.7,0.15
Waseda University,Japan,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,58.7,96.5,27.2,4.4,28.4,35.2,63.5,72.2,60.3,94.1,29.8,5.2,13.5,37.2,31.3,38,22.8,28.2,38.1,28.5,48839,14.1,0.1
University of Bergen,Norway,>30000 Students,Comprehensive,Very High,100+ Years,33.8,8.1,76,41.1,86.6,8,87.9,21.7,34.2,10,78.1,45,85.5,8.5,29.5,78.3,29.4,94.1,37.1,52.7,14007,12.5,0.14
Erasmus University Rotterdam ,Netherlands,5000-12000 Students,Fully Comprehensive,Very High,25-49 Years,35.6,47,28.3,54.9,83.2,53.2,87.1,56.1,35.6,58.2,35,61.1,81.9,53.7,,,,,,,,,
Qatar University,Qatar,>30000 Students,Focused,Very High,100+ Years,24.4,33.2,61.1,36.9,100,94.8,90.1,1.1,21.6,24.4,70.3,28.1,100,94.6,19.6,99.6,27.2,64.7,49.3,42.2,15585,17.3,0.38
Universidade Estadual de Campinas (Unicamp),Brazil,5000-12000 Students,Fully Comprehensive,Very High,25-49 Years,68.7,32.7,11.6,43.2,8.1,3.2,84.1,13.4,65.3,34.3,13,43.4,2.6,3.5,,,,,,,,,
Universite libre de Bruxelles,Belgium,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,34.3,50.4,4.1,67.8,96.6,86.3,82.2,49.6,33.8,47.8,5,70.1,94.5,89.4,,,,,,,,,
Tongji University,China (Mainland),12000-30000 Students,Fully Comprehensive,Very High,100+ Years,33.2,10,26.6,87.5,66.2,35.8,71,25.9,35.4,10.4,24.5,84.4,70.4,37.1,35.5,56,43.6,34.6,98.2,40.8,35690,13.1,0.13
         University of Twente,Netherlands,>30000 Students,Fully Comprehensive,Very High,50-99 Years,20.2,36.3,37,67.9,98.8,90.7,82.5,9.2,21,42.3,37.1,79.3,98.8,89.1,35.2,90.8,46.8,55.6,85,50.2,7584,13.9,0.32
Vrije Universiteit Amsterdam,Netherlands,12000-30000 Students,Focused,Very High,50-99 Years,39.7,12.6,30,70,64.6,33.5,89.8,19,41,17.6,37.3,67.1,37.5,30.9,35.7,68.8,48.1,88.4,52.5,58.1,23025,16.5,0.1
Universidad Autónoma de Madrid,Spain,>30000 Students,Fully Comprehensive,Very High,100+ Years,59,55.5,37.3,20.8,9,14.7,89.3,23,58.5,56.7,40.9,22.7,2.6,11.7,,,,,,,,,
University of Göttingen,Germany,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,49.3,21.5,64.1,18.7,48.4,23.6,92.7,15.4,50.5,20.1,65.1,24.8,33.2,23.1,49.6,60.9,48.6,82,37,59.6,30773,29.1,0.13
Harbin Institute of Technology,China (Mainland),12000-30000 Students,Fully Comprehensive,Very High,100+ Years,26.6,8.9,50.5,96.5,9.5,7.8,64.7,15.4,24.1,9.6,48.2,93.3,2.8,8.5,39.5,36.7,36.8,44,99.3,41.3,29603,9.9,0.12
University of Otago,New Zealand,12000-30000 Students,Focused,Very High,50-99 Years,47.1,34.3,12.5,51.4,100,34.5,77,49.3,50.6,39.2,16,49.5,100,47.4,30.2,89.8,32.1,84.7,37,51.8,18196,20,0.21
Arizona State University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,46.7,40.2,8.2,59.9,67.7,37.1,90.2,33.4,45.3,41.4,9.1,63.4,58.4,39.2,,,,,,,,,
Universidad de los Andes,Colombia,>30000 Students,Comprehensive,Very High,100+ Years,62.9,95,19.5,6.1,30.5,1.8,56.9,66.1,58.8,95.2,22.3,6.4,11,1.6,,,,,,,,,
University of Aberdeen,United Kingdom,12000-30000 Students,Fully Comprehensive,High,50-99 Years,28.3,36,33.5,50.6,94.8,97.6,87.4,19,29.3,35.1,31.4,58.4,94.9,99.2,30.4,95.7,33.3,95.2,45.8,56,12399,15.7,0.39
Queensland University of Technology (QUT),Australia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,39.5,40,7.7,65.1,97.5,41.4,90,22.1,42,44.8,8.7,59,98.3,43.3,,,,,,,,,
The Hebrew University of Jerusalem,Israel,>30000 Students,Comprehensive,Very High,25-49 Years,34.8,23.8,78.8,28.7,63.7,7.1,74.6,89.3,34.9,30.8,84.5,36.7,51.8,9.4,,,,,,,,,
Chulalongkorn University,Thailand,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,65.1,63.8,34.6,6.2,9.6,2.8,75.1,93.6,67.7,67.4,31.9,6.2,2.6,3,31.5,37.8,21.7,22.2,64.8,27.1,38531,14,0.04
National Cheng Kung University (NCKU),Taiwan,>30000 Students,Fully Comprehensive,High,100+ Years,47.2,71.9,40.7,22.2,27.8,22.9,51.4,17.9,43.9,61.9,39.4,25.2,7.2,24.2,32.8,36.3,41.1,22.9,99.8,34.3,20663,13.7,0.13
